Date,Domain,Subsidiary,Metric_Name,Target_Value,Actual_Value
2025-01-01,Agribusiness,Kulim (Malaysia) Berhad,Daily_Revenue_RM_Mil,4.8031,5.0852
2025-01-01,Agribusiness,Kulim (Malaysia) Berhad,Daily_Gross_Profit_RM_Mil,1.8572,1.7463
2025-01-01,Agribusiness,Kulim (Malaysia) Berhad,Daily_Finance_Cost_RM_Mil,0.1641,0.1852
2025-01-01,Agribusiness,Kulim (Malaysia) Berhad,FFB_Processed_Tonnes,4688.0,4620.0
2025-01-02,Agribusiness,Johor Plantation Group,Daily_Revenue_RM_Mil,4.9267,5.0075
2025-01-02,Agribusiness,Johor Plantation Group,Daily_Gross_Profit_RM_Mil,1.8804,1.7403
2025-01-02,Agribusiness,Johor Plantation Group,Daily_Finance_Cost_RM_Mil,0.1609,0.16
2025-01-02,Agribusiness,Johor Plantation Group,FFB_Processed_Tonnes,4521.0,3955.0
2025-01-03,Agribusiness,Kulim (Malaysia) Berhad,Daily_Revenue_RM_Mil,4.9701,4.9849
2025-01-03,Agribusiness,Kulim (Malaysia) Berhad,Daily_Gross_Profit_RM_Mil,1.9315,1.8744
2025-01-03,Agribusiness,Kulim (Malaysia) Berhad,Daily_Finance_Cost_RM_Mil,0.1696,0.1677
2025-01-03,Agribusiness,Kulim (Malaysia) Berhad,FFB_Processed_Tonnes,4475.0,4700.0
2025-01-04,Agribusiness,Johor Plantation Group,Daily_Revenue_RM_Mil,4.8163,5.1177
2025-01-04,Agribusiness,Johor Plantation Group,Daily_Gross_Profit_RM_Mil,1.9461,1.9577
2025-01-04,Agribusiness,Johor Plantation Group,Daily_Finance_Cost_RM_Mil,0.1683,0.1677
2025-01-04,Agribusiness,Johor Plantation Group,FFB_Processed_Tonnes,4378.0,3992.0
2025-01-05,Agribusiness,Kulim (Malaysia) Berhad,Daily_Revenue_RM_Mil,4.8246,4.4517
2025-01-05,Agribusiness,Kulim (Malaysia) Berhad,Daily_Gross_Profit_RM_Mil,1.9846,2.0343
2025-01-05,Agribusiness,Kulim (Malaysia) Berhad,Daily_Finance_Cost_RM_Mil,0.1634,0.157
2025-01-05,Agribusiness,Kulim (Malaysia) Berhad,FFB_Processed_Tonnes,4490.0,4676.0
2025-01-06,Agribusiness,Johor Plantation Group,Daily_Revenue_RM_Mil,4.9403,4.4683
2025-01-06,Agribusiness,Johor Plantation Group,Daily_Gross_Profit_RM_Mil,2.0517,1.9326
2025-01-06,Agribusiness,Johor Plantation Group,Daily_Finance_Cost_RM_Mil,0.1605,0.1754
2025-01-06,Agribusiness,Johor Plantation Group,FFB_Processed_Tonnes,4664.0,4970.0
2025-01-07,Agribusiness,Kulim (Malaysia) Berhad,Daily_Revenue_RM_Mil,4.7188,5.1225
2025-01-07,Agribusiness,Kulim (Malaysia) Berhad,Daily_Gross_Profit_RM_Mil,1.9346,1.692
2025-01-07,Agribusiness,Kulim (Malaysia) Berhad,Daily_Finance_Cost_RM_Mil,0.1622,0.1499
2025-01-07,Agribusiness,Kulim (Malaysia) Berhad,FFB_Processed_Tonnes,4622.0,5002.0
2025-01-08,Agribusiness,Johor Plantation Group,Daily_Revenue_RM_Mil,4.6662,2.7064
2025-01-08,Agribusiness,Johor Plantation Group,Daily_Gross_Profit_RM_Mil,1.964,1.7578
2025-01-08,Agribusiness,Johor Plantation Group,Daily_Finance_Cost_RM_Mil,0.1675,0.1574
2025-01-08,Agribusiness,Johor Plantation Group,FFB_Processed_Tonnes,4312.0,4057.0
2025-01-09,Agribusiness,Kulim (Malaysia) Berhad,Daily_Revenue_RM_Mil,4.7626,4.4351
